,News Agency,Tweets Ago,Date,Compound,Positive,Neutral,Negative,Tweet
112,@CBSNews,13,Sat Mar 31 12:30:10 +0000 2018,0.0,0.0,0.0,1.0,"Malala Yousafzai, Nobel laureate, returns to Pakistan home https://t.co/Gwt5yZ7BT6 https://t.co/8pw9wvER2M"
113,@CBSNews,14,Sat Mar 31 12:18:03 +0000 2018,-0.25,0.137,0.218,0.645,Does the post office lose money on Amazon? https://t.co/aZuUUU3P4d https://t.co/8yIfLSilHc
114,@CBSNews,15,Sat Mar 31 12:03:03 +0000 2018,0.34,0.211,0.0,0.789,Schlitterbahn water park indictments highlight lax state rules https://t.co/UiGkqCPdLb https://t.co/Yftyqutp8i
115,@CBSNews,16,Sat Mar 31 11:51:28 +0000 2018,0.2942,0.232,0.151,0.617,RT @CBSThisMorning: No winners yet... check your #MegaMillions tickets!  https://t.co/CCZ28PLfOa https://t.co/9OQAKtzPdH
116,@CBSNews,17,Sat Mar 31 11:48:03 +0000 2018,0.0,0.0,0.0,1.0,San Francisco police release video of deadly barber shop shooting https://t.co/uu4LTvGoQ6 https://t.co/5EoxQokvNG
117,@CBSNews,18,Sat Mar 31 11:43:00 +0000 2018,0.5423,0.143,0.0,0.857,RT @CBSThisMorning: Nobel Peace Prize-winner @Malala Yousafzai is back in Pakistan for the first time in more than five years. She arrived…
118,@CBSNews,19,Sat Mar 31 11:33:05 +0000 2018,-0.5719,0.0,0.236,0.764,Widespread teacher absences close Kentucky schools amid anger over pension bill https://t.co/cODcEXjXZl https://t.co/1HjqG0POYQ
119,@CBSNews,20,Sat Mar 31 11:30:10 +0000 2018,-0.7506,0.0,0.39,0.61,Autopsy disputing police account of Stephon Clark shooting sparks anger https://t.co/zQVyvPR5sX https://t.co/wZEXbsPu1G
120,@CBSNews,21,Sat Mar 31 15:40:01 +0000 2018,0.0,0.0,0.0,1.0,"President Trump's administration has frozen $200 million earmarked for Syria recovery efforts, CBS News confirms… https://t.co/OFQw4PG2qm"
121,@CBSNews,22,Sat Mar 31 15:22:01 +0000 2018,-0.7003,0.0,0.244,0.756,"Israel will target militant groups inside Gaza if violence along the territory's border with Israel drags on, the c… https://t.co/tQ9Wxho1hj"
122,@CBSNews,23,Sat Mar 31 15:00:02 +0000 2018,-0.4939,0.056,0.149,0.795,"President Trump is continuing his spat with Amazon, but does the U.S. Postal Service actually lose money on the e-c… https://t.co/A4Lxwm874g"
123,@CBSNews,24,Sat Mar 31 14:40:01 +0000 2018,-0.4019,0.0,0.153,0.847,"Tesla says a vehicle involved in a deadly crash last week was operating on its ""Autopilot"" system… https://t.co/jDV5oosmNE"
124,@CBSNews,25,Sat Mar 31 14:21:01 +0000 2018,-0.128,0.107,0.138,0.755,"President Trump, citing no evidence, claims Amazon uses Washington Post as a ""lobbyist"" https://t.co/psI4KsCeHT https://t.co/XKS8QZD5EW"
125,@CBSNews,26,Sat Mar 31 14:00:48 +0000 2018,-0.2732,0.0,0.11,0.89,Calls for charges against two officers in the shooting of Stephon Clark are intensifying after autopsy contradicts… https://t.co/rP4HajfGn8
126,@CBSNews,27,Sat Mar 31 13:40:01 +0000 2018,0.891,0.384,0.0,0.616,Nobel Peace Prize winner Malala Yousafzai has returned to her Pakistan home for the first time since Taliban milita… https://t.co/IYvSghsHmm
127,@CBSNews,28,Sat Mar 31 13:20:01 +0000 2018,0.5267,0.175,0.0,0.825,A winning ticket for a Mega Millions jackpot estimated at $521 million has been sold in New Jersey… https://t.co/7KeWR2UXfL
128,@CBSNews,29,Sat Mar 31 13:03:03 +0000 2018,0.0,0.0,0.0,1.0,Body camera videos show volunteer officer shooting at driver in South Carolina https://t.co/i7I5lUW7S4 https://t.co/7VCPhJBhA2
129,@CBSNews,30,Sat Mar 31 12:57:27 +0000 2018,0.802,0.286,0.0,0.714,RT @CBSThisMorning: UPDATE: #MegaMillions says a single winning ticket was sold in New Jersey. Friday's jackpot winner will receive an esti…
130,@CBSNews,31,Sat Mar 31 12:48:03 +0000 2018,0.0,0.0,0.0,1.0,"5 ways the ""Roseanne"" reboot embraces modern America https://t.co/iQ8Jmk7Yy8 https://t.co/8j9rBh1f8M"
131,@CBSNews,32,Sat Mar 31 12:33:04 +0000 2018,-0.7717,0.0,0.34,0.66,Suspect in slaying of off-duty officer in Kentucky killed by deputies after manhunt https://t.co/R15V0kEPWe https://t.co/7yKRIdVWZK
132,@CBSNews,33,Sat Mar 31 12:30:10 +0000 2018,0.0,0.0,0.0,1.0,"Malala Yousafzai, Nobel laureate, returns to Pakistan home https://t.co/Gwt5yZ7BT6 https://t.co/8pw9wvER2M"
133,@CBSNews,34,Sat Mar 31 12:18:03 +0000 2018,-0.25,0.137,0.218,0.645,Does the post office lose money on Amazon? https://t.co/aZuUUU3P4d https://t.co/8yIfLSilHc
